,use_multi_rate,mean_loss,beta,lr
0,True,,1.0,0.01
0,True,,1.0,0.003
0,True,,1.0,0.001
0,True,0.09629698798752033,1.0,0.0003
0,True,0.09630825791806612,1.0,0.0001
0,True,0.1475548293080008,1.0,3e-05
0,True,0.14763592900354652,1.0,1e-05
